index,Przeciwnik,Gole strzelone,Gole stracone,Miejsce,Dzień_tygodnia,Godzina,Waznosc
287,Zagłębie Lubin,1,1,Na wyjeździe,Sobota,15:00,0.6
288,Podbeskidzie Bielsko-Biała,2,0,Na wyjeździe,Sobota,17:45,0.6
289,Wisła Kraków,3,0,U siebie,Sobota,20:00,0.9
290,Śląsk Wrocław,1,0,U siebie,Niedziela,15:00,0.9
291,Piast Gliwice,0,1,Na wyjeździe,Sobota,17:45,0.6
292,Legia Warszawa,2,4,Na wyjeździe,Niedziela,17:30,0.6
293,Raków Częstochowa,1,0,U siebie,Sobota,20:00,0.9
294,Lechia Gdańsk,2,1,U siebie,Sobota,17:45,0.9
295,Jagiellonia Białystok,1,1,Na wyjeździe,Niedziela,15:00,0.6
296,Górnik Zabrze,2,2,U siebie,Sobota,20:00,0.9
297,Warta Poznań,1,0,Na wyjeździe,Sobota,17:45,0.6
298,Cracovia Kraków,0,0,U siebie,Niedziela,15:00,0.9
299,Stal Mielec,1,1,Na wyjeździe,Sobota,17:45,0.6
